fips,acs_population,median_income,median_gross_rent,housing_units,vacancy_rate,renter_share,unemployment_rate
46085,3724.0,67143.0,651.0,1553.0,0.23502897617514487,0.3005050505050505,0.040100250626566414
46087,5751.0,83852.0,945.0,2473.0,0.101900525677315,0.20531292210715893,0.018425460636515914
46089,2145.0,66906.0,594.0,1205.0,0.24066390041493776,0.18688524590163935,0.010773751224289911
46091,4344.0,78156.0,752.0,2436.0,0.3222495894909688,0.1968503937007874,0.003239241092086997
46093,30546.0,74790.0,1264.0,12871.0,0.07015771890296015,0.27080548128342247,0.03199948698217263
46095,1943.0,54076.0,708.0,779.0,0.17715019255455713,0.3962558502340094,0.12471131639722864
46097,2300.0,76140.0,644.0,1180.0,0.21016949152542372,0.15236051502145923,0.002544529262086514
46099,203289.0,76880.0,978.0,89418.0,0.051488514616743836,0.3691253802438277,0.02459616627180702
46101,6397.0,78427.0,758.0,2759.0,0.07249003262051468,0.26533802266510353,0.027950310559006212
46102,13491.0,41417.0,584.0,3470.0,0.15763688760806915,0.4854601436879918,0.163818123186069
46103,113512.0,74517.0,1120.0,51681.0,0.10276503937617307,0.3072029329307742,0.03151527828618243
46105,3001.0,66908.0,738.0,1744.0,0.24942660550458715,0.21619556913674562,0.04858044164037855
46107,2388.0,72045.0,1008.0,1567.0,0.31971920867900444,0.1848030018761726,0.02607232968881413
46109,10221.0,65130.0,658.0,4848.0,0.2522689768976898,0.2882758620689655,0.05991285403050109
46111,2384.0,78750.0,725.0,1168.0,0.19006849315068494,0.2135306553911205,0.005654281098546042
46115,6219.0,70139.0,734.0,3010.0,0.17408637873754154,0.2727272727272727,0.013350700097688049
46117,3015.0,87712.0,952.0,1542.0,0.16342412451361868,0.16899224806201552,0.0048484848484848485
46119,1526.0,72578.0,842.0,934.0,0.31798715203426126,0.271585557299843,0.0
46121,9244.0,42075.0,532.0,2879.0,0.11635984716915596,0.5365566037735849,0.18663981201745553
