fips,year,permits
06101,2022,133
06101,2023,85
06103,2022,188
06103,2023,165
06105,2022,21
06105,2023,22
06107,2022,2385
06107,2023,1175
06109,2022,79
06109,2023,68
06111,2022,1351
06111,2023,1089
06113,2018,776
06113,2019,895
06113,2020,1171
06113,2021,1095
06113,2022,931
06113,2023,722
06115,2022,651
06115,2023,539
08001,2018,2756
08001,2019,2664
08001,2020,3846
08001,2021,4687
08001,2022,2811
08001,2023,2817
08003,2022,102
08003,2023,67
08005,2018,3561
08005,2019,3497
08005,2020,4106
08005,2021,5337
08005,2022,4329
08005,2023,5464
08007,2022,201
08007,2023,133
08009,2022,4
08009,2023,18
08011,2022,7
08011,2023,20
08013,2022,1621
08013,2023,1646
08014,2018,785
08014,2019,343
08014,2020,427
08014,2021,501
08014,2022,538
08014,2023,1277
08015,2018,162
08015,2019,164
08015,2020,186
08015,2021,349
08015,2022,277
08015,2023,285
08017,2022,11
08017,2023,10
08019,2018,33
08019,2019,67
08019,2020,97
08019,2021,97
08019,2022,20
08019,2023,24
08021,2022,40
08021,2023,38
08023,2022,0
08023,2023,0
08025,2022,7
08025,2023,34
08027,2022,132
08027,2023,106
08029,2022,73
08029,2023,55
08031,2018,7878
08031,2019,7330
08031,2020,5059
08031,2021,10000
08031,2022,8296
08031,2023,5725
08033,2022,5
08033,2023,3
08035,2018,4065
08035,2019,3159
08035,2020,3389
08035,2021,6065
08035,2022,4767
08035,2023,3568
08037,2022,406
08037,2023,426
08039,2018,202
08039,2019,196
08039,2020,299
08039,2021,413
08039,2022,284
08039,2023,350
08041,2018,5585
08041,2019,5388
08041,2020,6819
08041,2021,9186
08041,2022,8683
08041,2023,5083
08043,2022,189
08043,2023,125
08045,2022,334
08045,2023,155
08047,2018,41
08047,2019,32
08047,2020,20
08047,2021,22
08047,2022,29
08047,2023,28
08049,2022,375
08049,2023,248
08051,2022,150
08051,2023,107
08053,2022,15
08053,2023,13
08055,2022,59
08055,2023,46
08057,2022,3
08057,2023,4
08059,2018,2140
08059,2019,1816
08059,2020,2161
08059,2021,2689
08059,2022,2206
08059,2023,1185
08061,2022,6
08061,2023,4
08063,2022,9
08063,2023,3
08065,2022,64
08065,2023,52
08067,2022,390
08067,2023,354
08069,2018,2940
08069,2019,2541
08069,2020,2593
08069,2021,3221
08069,2022,2597
08069,2023,2681
08071,2022,44
08071,2023,38
08073,2022,11
08073,2023,8
08075,2022,21
08075,2023,14
08077,2018,794
08077,2019,759
08077,2020,1004
08077,2021,1282
08077,2022,969
08077,2023,1206
08079,2022,9
08079,2023,6
08081,2022,21
08081,2023,11
08083,2022,23
08083,2023,20
08085,2022,405
08085,2023,321
08087,2022,181
08087,2023,82
08089,2022,14
08089,2023,14
08091,2022,95
08091,2023,60
08093,2018,183
08093,2019,174
08093,2020,162
08093,2021,193
08093,2022,192
08093,2023,185
08095,2022,10
08095,2023,6
08097,2022,99
08097,2023,36
08099,2022,10
08099,2023,14
08101,2018,479
08101,2019,488
08101,2020,581
08101,2021,742
08101,2022,497
08101,2023,297
08103,2022,12
08103,2023,19
08105,2022,48
08105,2023,57
08107,2022,438
08107,2023,329
08109,2022,84
08109,2023,74
08111,2022,16
08111,2023,4
08113,2022,71
08113,2023,72
08115,2022,3
08115,2023,4
08117,2022,400
08117,2023,362
08119,2018,148
08119,2019,120
08119,2020,113
08119,2021,147
08119,2022,135
08119,2023,208
08121,2022,4
08121,2023,5
08123,2022,6137
08123,2023,3719
08125,2022,6
08125,2023,12
09001,2018,1105
09001,2019,2326
09001,2020,1877
09001,2021,1286
09003,2018,1155
09003,2019,926
09003,2020,847
09003,2021,838
09007,2018,163
09007,2019,132
09007,2020,214
09007,2021,260
09013,2018,290
09013,2019,340
09013,2020,335
09013,2021,412
09110,2023,1661
09120,2023,214
09130,2023,200
09140,2023,389
09150,2023,133
09160,2023,127
09170,2023,1395
09180,2023,331
09190,2023,1314
10001,2018,1458
10001,2019,1341
10001,2020,2136
10001,2021,1900
10001,2022,1056
10001,2023,1105
10003,2018,1461
10003,2019,1703
10003,2020,1797
10003,2021,1840
10003,2022,1187
10003,2023,1383
10005,2018,3180
10005,2019,3467
10005,2020,4523
10005,2021,4805
10005,2022,4170
10005,2023,4134
11001,2018,4615
11001,2019,5945
11001,2020,7370
11001,2021,4740
