fips,year,rent,rent_months,log_rent,d_log_rent,gross_inflow,gross_outflow,nonmigrant_exemptions,net_migration,irs_population_base,population_lag,net_mig_share,gross_inflow_share
01069,2022,1050.7739441636083,1,6.9572822613140115,,5376.0,4872.0,75379.0,504.0,80251.0,80251.0,0.006280295572640839,0.06698981944150229
01069,2023,1078.8610068411663,12,6.983661140316597,0.02637887900258562,5370.0,5082.0,77091.0,288.0,82173.0,82173.0,0.003504800846993538,0.06534993245956701
01069,2024,1129.2567767698013,12,7.029314975641171,0.04565383532457368,,,,,,,,
01069,2025,1183.184019160449,12,7.0759644048486905,0.04664942920751969,,,,,,,,
01069,2026,1207.8909831889728,4,7.0966311287178785,0.020666723869187997,,,,,,,,
01071,2026,1227.7444752359656,2,7.112934004999611,,,,,,,,,
01073,2015,874.8638022450106,12,6.774068219665053,,,,,,,,,
01073,2016,893.8441604470845,12,6.795531442805227,0.02146322314017368,,,,,,,,
01073,2017,912.1284417520136,12,6.815780815412379,0.020249372607151983,,,,,,,,
01073,2018,946.5846958510259,12,6.852860449848347,0.03707963443596807,,,,,,,,
01073,2019,983.7378081274945,12,6.8913594063917865,0.03849895654343971,,,,,,,,
01073,2020,1022.5667191257256,12,6.930071136766909,0.03871173037512232,22256.0,27759.0,476967.0,-5503.0,504726.0,504726.0,-0.010902945360452998,0.04409521205564999
01073,2021,1105.2955888882318,12,7.00786807943609,0.07779694266918113,22072.0,26923.0,454700.0,-4851.0,481623.0,481623.0,-0.010072193396079506,0.04582837613652172
01073,2022,1199.5507452139743,12,7.089702386690428,0.08183430725433816,21385.0,25452.0,459765.0,-4067.0,485217.0,485217.0,-0.008381816795371968,0.04407306421662885
01073,2023,1258.9471939433104,12,7.138031090307938,0.04832870361750974,21674.0,24492.0,464260.0,-2818.0,488752.0,488752.0,-0.00576570530657675,0.044345598585785836
01073,2024,1303.547243486467,12,7.172844476281383,0.034813385973444966,,,,,,,,
01073,2025,1339.8292871356298,12,7.200297487169208,0.027453010887825258,,,,,,,,
01073,2026,1346.1140725110567,4,7.204977255878929,0.004679768709721088,,,,,,,,
01077,2023,1131.8285455272849,10,7.031589785743335,,3787.0,3480.0,66261.0,307.0,69741.0,69741.0,0.004402001691974591,0.054300913379504163
01077,2024,1196.5679410667683,12,7.0872126889095535,0.05562290316621876,,,,,,,,
01077,2025,1251.5462204501566,12,7.132135042231533,0.04492235332197936,,,,,,,,
01077,2026,1273.6200642474423,4,7.1496185689291565,0.017483526697623653,,,,,,,,
01081,2015,870.0223961274654,8,6.76851895399254,,,,,,,,,
01081,2016,978.4429428103881,11,6.8859624742625964,0.11744352027005611,,,,,,,,
01081,2017,1010.6572810736349,12,6.918356171514391,0.03239369725179486,,,,,,,,
01081,2018,1071.848376630306,12,6.977139891916672,0.05878372040228097,,,,,,,,
01081,2019,1124.567932186364,12,7.025154180589696,0.048014288673023486,,,,,,,,
01081,2020,1153.8245457353498,12,7.050837395418094,0.025683214828398526,9796.0,8947.0,107947.0,849.0,116894.0,116894.0,0.007262990401560388,0.08380241928584872
01081,2021,1233.8515115060618,12,7.117895866192609,0.06705847077451477,9880.0,8453.0,105617.0,1427.0,114070.0,114070.0,0.012509862365214341,0.08661348294906636
01081,2022,1343.3322105974792,12,7.202908530488755,0.08501266429614596,9953.0,8465.0,110887.0,1488.0,119352.0,119352.0,0.012467323547154635,0.08339198337690194
01081,2023,1443.3395440901961,12,7.274714835383969,0.07180630489521356,9336.0,8878.0,115580.0,458.0,124458.0,124458.0,0.0036799562904755016,0.07501325748445259
01081,2024,1561.0795813917418,12,7.35313290024845,0.078418064864481,,,,,,,,
01081,2025,1666.3503145889172,12,7.418391073485044,0.065258173236594,,,,,,,,
01081,2026,1725.0066774323325,4,7.452986200433233,0.034595126948189225,,,,,,,,
01083,2020,1155.3756330829387,2,7.052180793530644,,7861.0,4926.0,74621.0,2935.0,79547.0,79547.0,0.03689642601229462,0.09882208002815945
01083,2021,1247.6183831539774,12,7.128991719439116,0.0768109259084726,8058.0,5036.0,74734.0,3022.0,79770.0,79770.0,0.03788391625924533,0.10101541933057541
01083,2022,1340.7744731578584,12,7.201002691030666,0.07201097159155001,7855.0,5067.0,78850.0,2788.0,83917.0,83917.0,0.03322330397893156,0.0936043948186899
01083,2023,1409.705883910502,12,7.251136368642399,0.05013367761173271,7660.0,5169.0,83568.0,2491.0,88737.0,88737.0,0.02807171754735905,0.08632250357798889
01083,2024,1467.380556049253,12,7.291234155578265,0.040097786935866075,,,,,,,,
01083,2025,1495.88231238357,12,7.310471487247117,0.019237331668851887,,,,,,,,
01083,2026,1509.5710872908228,4,7.31958084130788,0.00910935406076252,,,,,,,,
01089,2015,747.9166711000812,12,6.617291569496165,,,,,,,,,
01089,2016,766.3476969874763,12,6.641635979269756,0.024344409773591202,,,,,,,,
01089,2017,792.1112641502235,12,6.674701866985488,0.03306588771573171,,,,,,,,
01089,2018,838.0371775927434,12,6.731062464167145,0.056360597181657646,,,,,,,,
01089,2019,902.4913268244203,12,6.805159079994011,0.07409661582686589,,,,,,,,
01089,2020,1012.1798620634669,12,6.919861563367154,0.1147024833731427,20970.0,16704.0,292298.0,4266.0,309002.0,309002.0,0.013805735885204626,0.06786363842305228
01089,2021,1166.3316072683594,12,7.06161872379139,0.1417571604242358,20515.0,17238.0,284181.0,3277.0,301419.0,301419.0,0.01087190920280407,0.06806140289762755
01089,2022,1277.5812782995897,12,7.152723942989106,0.09110521919771664,20820.0,16973.0,293908.0,3847.0,310881.0,310881.0,0.012374509860686243,0.06697096316597026
01089,2023,1323.93324728662,12,7.188362317768715,0.03563837477960874,21076.0,16426.0,304533.0,4650.0,320959.0,320959.0,0.014487831779136899,0.06566570808109447
01089,2024,1335.557513997366,12,7.197104097139283,0.008741779370567748,,,,,,,,
01089,2025,1344.1787724876515,12,7.20353852748114,0.006434430341856867,,,,,,,,
01089,2026,1361.7820822198437,4,7.216549475538194,0.013010948057054605,,,,,,,,
01097,2015,728.2287739941426,12,6.590615248822453,,,,,,,,,
01097,2016,751.0753652820528,12,6.621505999967504,0.030890751145051354,,,,,,,,
01097,2017,775.1320557885125,12,6.6530334094036645,0.03152740943616017,,,,,,,,
01097,2018,799.136005406028,12,6.683531150812524,0.03049774140885919,,,,,,,,
01097,2019,833.8390224185786,12,6.726040365045484,0.04250921423296017,,,,,,,,
01097,2020,858.5331676329027,12,6.755225313991827,0.029184948946342715,10945.0,11600.0,289767.0,-655.0,301367.0,301367.0,-0.0021734297384916066,0.036317845019527686
01097,2021,969.471109141584,12,6.8767506744878695,0.1215253604960429,10708.0,11934.0,279688.0,-1226.0,291622.0,291622.0,-0.00420407239508679,0.03671876607389017
01097,2022,1074.3899951941773,12,6.9795083331721655,0.10275765868429598,10316.0,10965.0,285270.0,-649.0,296235.0,296235.0,-0.0021908282275895827,0.03482370415379682
01097,2023,1170.139071761995,12,7.064877885481788,0.08536955230962295,10507.0,11230.0,288260.0,-723.0,299490.0,299490.0,-0.0024141039767604927,0.03508297438979598
01097,2024,1225.1438056217476,12,7.110813508433169,0.04593562295138032,,,,,,,,
01097,2025,1267.4461539577762,12,7.144759252478354,0.03394574404518558,,,,,,,,
01097,2026,1294.5958330926187,4,7.165953827422944,0.021194574944590094,,,,,,,,
01101,2015,851.9704329487354,12,6.7475518231153355,,,,,,,,,
01101,2016,855.3753629328654,12,6.7515403935693605,0.003988570454025009,,,,,,,,
01101,2017,868.2819229762948,12,6.766516457981169,0.01497606441180821,,,,,,,,
01101,2018,884.9101165650201,12,6.785486076646671,0.018969618665502175,,,,,,,,
01101,2019,902.8518799434595,12,6.8055585088920525,0.020072432245381577,,,,,,,,
01101,2020,936.8792280970036,12,6.842554381825469,0.03699587293341633,9688.0,11735.0,156000.0,-2047.0,167735.0,167735.0,-0.012203773809878677,0.05775777267713954
01101,2021,1024.6419951515293,12,6.9320985575395815,0.08954417571411266,9806.0,10828.0,149339.0,-1022.0,160167.0,160167.0,-0.006380839998251825,0.06122359786972348
