fips,year,rent,rent_months,log_rent,d_log_rent,gross_inflow,gross_outflow,nonmigrant_exemptions,net_migration,irs_population_base,permits_2020_units,population_lag,net_mig_share,gross_inflow_share,irs_population_base_2020,permits_2020_per_capita,netmig_2019,netmig_2020,netmig_2021,pre_net_mig_rate,early_migration_shock,shock_quintile,shock_group,high_shock,low_shock,neutral_shock,post,q1_lowest_post,q2_post,q4_post,q5_highest_post,low_permit
53053,2018,1270.3035983041843,12,7.147011204666657,0.0725979513630692,,,,,,4922.0,,,,760530.0,0.0064718025587419,0.0055590622984668,0.0024916834312913,-0.0029369773607995,0.00402537286487905,-0.00696235022567855,Q1 lowest,Low shock,0.0,1.0,0.0,0,0,0,0,0,0.0
53053,2019,1347.535333669844,12,7.20603252408675,0.0590213194200934,53735.0,49675.0,680664.0,4060.0,730339.0,4922.0,730339.0,0.0055590622984668,0.0735754218246595,760530.0,0.0064718025587419,0.0055590622984668,0.0024916834312913,-0.0029369773607995,0.00402537286487905,-0.00696235022567855,Q1 lowest,Low shock,0.0,1.0,0.0,0,0,0,0,0,0.0
53053,2020,1426.956486503258,12,7.263299124021907,0.0572665999351569,58156.0,56261.0,704269.0,1895.0,760530.0,4922.0,760530.0,0.0024916834312913,0.0764677264539202,760530.0,0.0064718025587419,0.0055590622984668,0.0024916834312913,-0.0029369773607995,0.00402537286487905,-0.00696235022567855,Q1 lowest,Low shock,0.0,1.0,0.0,0,0,0,0,0,0.0
53053,2021,1593.2022214192193,12,7.373501245619359,0.1102021215974513,56151.0,58311.0,677139.0,-2160.0,735450.0,4922.0,735450.0,-0.0029369773607995,0.0763491739751172,760530.0,0.0064718025587419,0.0055590622984668,0.0024916834312913,-0.0029369773607995,0.00402537286487905,-0.00696235022567855,Q1 lowest,Low shock,0.0,1.0,0.0,0,0,0,0,0,0.0
53053,2022,1735.0770335868372,12,7.458807091157185,0.0853058455378263,53778.0,55948.0,689858.0,-2170.0,745806.0,4922.0,745806.0,-0.0029096038379954,0.0721072235943395,760530.0,0.0064718025587419,0.0055590622984668,0.0024916834312913,-0.0029369773607995,0.00402537286487905,-0.00696235022567855,Q1 lowest,Low shock,0.0,1.0,0.0,1,1,0,0,0,0.0
53053,2023,1765.7681115859775,12,7.47634106539966,0.0175339742424744,49197.0,48618.0,708281.0,579.0,756899.0,4922.0,756899.0,0.0007649633570661,0.0649981041063603,760530.0,0.0064718025587419,0.0055590622984668,0.0024916834312913,-0.0029369773607995,0.00402537286487905,-0.00696235022567855,Q1 lowest,Low shock,0.0,1.0,0.0,1,1,0,0,0,0.0
53053,2024,1822.6956714334176,12,7.508071822417851,0.0317307570181917,,,,,,4922.0,,,,760530.0,0.0064718025587419,0.0055590622984668,0.0024916834312913,-0.0029369773607995,0.00402537286487905,-0.00696235022567855,Q1 lowest,Low shock,0.0,1.0,0.0,1,1,0,0,0,0.0
53053,2025,1884.7263675613713,12,7.541537926247513,0.0334661038296619,,,,,,4922.0,,,,760530.0,0.0064718025587419,0.0055590622984668,0.0024916834312913,-0.0029369773607995,0.00402537286487905,-0.00696235022567855,Q1 lowest,Low shock,0.0,1.0,0.0,1,1,0,0,0,0.0
53053,2026,1911.9105930325445,4,7.555858331551776,0.0143204053042627,,,,,,4922.0,,,,760530.0,0.0064718025587419,0.0055590622984668,0.0024916834312913,-0.0029369773607995,0.00402537286487905,-0.00696235022567855,Q1 lowest,Low shock,0.0,1.0,0.0,1,1,0,0,0,0.0
53057,2018,1346.8368561846974,8,7.205514052656988,,,,,,,561.0,,,,109360.0,0.0051298463789319,0.011676848676022,0.013085223116313,0.0011743536319727,0.0123810358961675,-0.0112066822641948,Q1 lowest,Low shock,0.0,1.0,0.0,0,0,0,0,0,1.0
53057,2019,1398.8399335599267,12,7.243398553223191,0.0378845005662027,6573.0,5344.0,99907.0,1229.0,105251.0,561.0,105251.0,0.011676848676022,0.0624507130573581,109360.0,0.0051298463789319,0.011676848676022,0.013085223116313,0.0011743536319727,0.0123810358961675,-0.0112066822641948,Q1 lowest,Low shock,0.0,1.0,0.0,0,0,0,0,0,1.0
53057,2020,1496.607376677619,12,7.310956076591493,0.0675575233683023,7732.0,6301.0,103059.0,1431.0,109360.0,561.0,109360.0,0.013085223116313,0.0707022677395757,109360.0,0.0051298463789319,0.011676848676022,0.013085223116313,0.0011743536319727,0.0123810358961675,-0.0112066822641948,Q1 lowest,Low shock,0.0,1.0,0.0,0,0,0,0,0,1.0
53057,2021,1659.9896977805145,11,7.414566675175014,0.1036105985835211,6691.0,6567.0,99023.0,124.0,105590.0,561.0,105590.0,0.0011743536319727,0.0633677431574959,109360.0,0.0051298463789319,0.011676848676022,0.013085223116313,0.0011743536319727,0.0123810358961675,-0.0112066822641948,Q1 lowest,Low shock,0.0,1.0,0.0,0,0,0,0,0,1.0
53057,2022,1852.8940667730797,12,7.524504056153111,0.1099373809780965,6722.0,6308.0,100862.0,414.0,107170.0,561.0,107170.0,0.0038630213679201,0.0627227768965195,109360.0,0.0051298463789319,0.011676848676022,0.013085223116313,0.0011743536319727,0.0123810358961675,-0.0112066822641948,Q1 lowest,Low shock,0.0,1.0,0.0,1,1,0,0,0,1.0
53057,2023,1922.006229250538,12,7.56112483055024,0.0366207743971287,6096.0,5769.0,103038.0,327.0,108807.0,561.0,108807.0,0.0030053213488102,0.056025807163142,109360.0,0.0051298463789319,0.011676848676022,0.013085223116313,0.0011743536319727,0.0123810358961675,-0.0112066822641948,Q1 lowest,Low shock,0.0,1.0,0.0,1,1,0,0,0,1.0
53057,2024,2016.305496975747,12,7.609022153909096,0.0478973233588568,,,,,,561.0,,,,109360.0,0.0051298463789319,0.011676848676022,0.013085223116313,0.0011743536319727,0.0123810358961675,-0.0112066822641948,Q1 lowest,Low shock,0.0,1.0,0.0,1,1,0,0,0,1.0
53057,2025,2041.087943155375,12,7.621238250149761,0.0122160962406647,,,,,,561.0,,,,109360.0,0.0051298463789319,0.011676848676022,0.013085223116313,0.0011743536319727,0.0123810358961675,-0.0112066822641948,Q1 lowest,Low shock,0.0,1.0,0.0,1,1,0,0,0,1.0
53057,2026,2110.956763428325,4,7.654896566079274,0.0336583159295127,,,,,,561.0,,,,109360.0,0.0051298463789319,0.011676848676022,0.013085223116313,0.0011743536319727,0.0123810358961675,-0.0112066822641948,Q1 lowest,Low shock,0.0,1.0,0.0,1,1,0,0,0,1.0
53061,2015,1255.5229596090169,12,7.135307465653861,,,,,,,5780.0,,,,701489.0,0.0082396160167871,0.0041391531266254,0.0032830165547856,0.0010587635879568,0.0037110848407055,-0.0026523212527487,Q2,,0.0,0.0,0.0,0,0,0,0,0,0.0
53061,2016,1353.1963957041194,12,7.210224773367771,0.0749173077139095,,,,,,5780.0,,,,701489.0,0.0082396160167871,0.0041391531266254,0.0032830165547856,0.0010587635879568,0.0037110848407055,-0.0026523212527487,Q2,,0.0,0.0,0.0,0,0,0,0,0,0.0
53061,2017,1450.539373105289,12,7.279690747698596,0.069465974330825,,,,,,5780.0,,,,701489.0,0.0082396160167871,0.0041391531266254,0.0032830165547856,0.0010587635879568,0.0037110848407055,-0.0026523212527487,Q2,,0.0,0.0,0.0,0,0,0,0,0,0.0
53061,2018,1524.8687103906293,12,7.329663593788294,0.0499728460896982,,,,,,5780.0,,,,701489.0,0.0082396160167871,0.0041391531266254,0.0032830165547856,0.0010587635879568,0.0037110848407055,-0.0026523212527487,Q2,,0.0,0.0,0.0,0,0,0,0,0,0.0
53061,2019,1593.2067733822212,12,7.373504102730928,0.0438405089426341,39810.0,36993.0,643581.0,2817.0,680574.0,5780.0,680574.0,0.0041391531266254,0.0584947412037486,701489.0,0.0082396160167871,0.0041391531266254,0.0032830165547856,0.0010587635879568,0.0037110848407055,-0.0026523212527487,Q2,,0.0,0.0,0.0,0,0,0,0,0,0.0
53061,2020,1645.350883507945,12,7.405708943497956,0.0322048407670276,43566.0,41263.0,660226.0,2303.0,701489.0,5780.0,701489.0,0.0032830165547856,0.0621050365722056,701489.0,0.0082396160167871,0.0041391531266254,0.0032830165547856,0.0010587635879568,0.0037110848407055,-0.0026523212527487,Q2,,0.0,0.0,0.0,0,0,0,0,0,0.0
53061,2021,1774.5802109364524,12,7.4813191730579005,0.0756102295599445,44206.0,43487.0,635607.0,719.0,679094.0,5780.0,679094.0,0.0010587635879568,0.0650955537819506,701489.0,0.0082396160167871,0.0041391531266254,0.0032830165547856,0.0010587635879568,0.0037110848407055,-0.0026523212527487,Q2,,0.0,0.0,0.0,0,0,0,0,0,0.0
53061,2022,1963.20068235277,12,7.582331421528291,0.1010122484703908,42126.0,43982.0,649422.0,-1856.0,693404.0,5780.0,693404.0,-0.0026766502644922,0.0607524617683197,701489.0,0.0082396160167871,0.0041391531266254,0.0032830165547856,0.0010587635879568,0.0037110848407055,-0.0026523212527487,Q2,,0.0,0.0,0.0,1,0,1,0,0,0.0
53061,2023,2031.4688993547843,12,7.616514406107929,0.0341829845796377,37969.0,37080.0,667820.0,889.0,704900.0,5780.0,704900.0,0.001261171797418,0.0538643779259469,701489.0,0.0082396160167871,0.0041391531266254,0.0032830165547856,0.0010587635879568,0.0037110848407055,-0.0026523212527487,Q2,,0.0,0.0,0.0,1,0,1,0,0,0.0
53061,2024,2096.09585032612,12,7.647831774512767,0.0313173684048377,,,,,,5780.0,,,,701489.0,0.0082396160167871,0.0041391531266254,0.0032830165547856,0.0010587635879568,0.0037110848407055,-0.0026523212527487,Q2,,0.0,0.0,0.0,1,0,1,0,0,0.0
53061,2025,2138.299242246218,12,7.667766045423464,0.0199342709106966,,,,,,5780.0,,,,701489.0,0.0082396160167871,0.0041391531266254,0.0032830165547856,0.0010587635879568,0.0037110848407055,-0.0026523212527487,Q2,,0.0,0.0,0.0,1,0,1,0,0,0.0
53061,2026,2147.709442759042,4,7.672157177744963,0.0043911323214995,,,,,,5780.0,,,,701489.0,0.0082396160167871,0.0041391531266254,0.0032830165547856,0.0010587635879568,0.0037110848407055,-0.0026523212527487,Q2,,0.0,0.0,0.0,1,0,1,0,0,0.0
53063,2015,767.4291042932426,12,6.643046102938412,,,,,,,3170.0,,,,433848.0,0.0073067064962844,0.00915253909928,0.0073643303645516,0.005758597692777,0.0082584347319158,-0.002499837039138801,Q2,,0.0,0.0,0.0,0,0,0,0,0,0.0
53063,2016,818.4694492745572,12,6.707436070854422,0.0643899679160107,,,,,,3170.0,,,,433848.0,0.0073067064962844,0.00915253909928,0.0073643303645516,0.005758597692777,0.0082584347319158,-0.002499837039138801,Q2,,0.0,0.0,0.0,0,0,0,0,0,0.0
53063,2017,883.9211864745627,12,6.784367903091288,0.0769318322368652,,,,,,3170.0,,,,433848.0,0.0073067064962844,0.00915253909928,0.0073643303645516,0.005758597692777,0.0082584347319158,-0.002499837039138801,Q2,,0.0,0.0,0.0,0,0,0,0,0,0.0
53063,2018,960.8047650039184,12,6.8677712301663805,0.0834033270750929,,,,,,3170.0,,,,433848.0,0.0073067064962844,0.00915253909928,0.0073643303645516,0.005758597692777,0.0082584347319158,-0.002499837039138801,Q2,,0.0,0.0,0.0,0,0,0,0,0,0.0
53063,2019,1025.3897782340644,12,6.932828090735514,0.0650568605691335,21585.0,17794.0,396408.0,3791.0,414202.0,3170.0,414202.0,0.00915253909928,0.0521122544072698,433848.0,0.0073067064962844,0.00915253909928,0.0073643303645516,0.005758597692777,0.0082584347319158,-0.002499837039138801,Q2,,0.0,0.0,0.0,0,0,0,0,0,0.0
53063,2020,1095.2720417221258,12,6.998758051323395,0.0659299605878809,23624.0,20429.0,413419.0,3195.0,433848.0,3170.0,433848.0,0.0073643303645516,0.054452250557799,433848.0,0.0073067064962844,0.00915253909928,0.0073643303645516,0.005758597692777,0.0082584347319158,-0.002499837039138801,Q2,,0.0,0.0,0.0,0,0,0,0,0,0.0
53063,2021,1301.1258344294324,12,7.170985195149238,0.1722271438258431,23649.0,21214.0,401632.0,2435.0,422846.0,3170.0,422846.0,0.005758597692777,0.055928162971862,433848.0,0.0073067064962844,0.00915253909928,0.0073643303645516,0.005758597692777,0.0082584347319158,-0.002499837039138801,Q2,,0.0,0.0,0.0,0,0,0,0,0,0.0
53063,2022,1428.7652288940433,12,7.264565873945683,0.093580678796445,22520.0,20951.0,410864.0,1569.0,431815.0,3170.0,431815.0,0.0036335004573717,0.0521519632249921,433848.0,0.0073067064962844,0.00915253909928,0.0073643303645516,0.005758597692777,0.0082584347319158,-0.002499837039138801,Q2,,0.0,0.0,0.0,1,0,1,0,0,0.0
53063,2023,1445.8396144772212,12,7.27644547988458,0.0118796059388968,19859.0,19540.0,422364.0,319.0,441904.0,3170.0,441904.0,0.0007218762446142,0.0449396248959049,433848.0,0.0073067064962844,0.00915253909928,0.0073643303645516,0.005758597692777,0.0082584347319158,-0.002499837039138801,Q2,,0.0,0.0,0.0,1,0,1,0,0,0.0
53063,2024,1473.869146046735,12,7.295646294077728,0.0192008141931481,,,,,,3170.0,,,,433848.0,0.0073067064962844,0.00915253909928,0.0073643303645516,0.005758597692777,0.0082584347319158,-0.002499837039138801,Q2,,0.0,0.0,0.0,1,0,1,0,0,0.0
53063,2025,1507.1295079750043,12,7.317962132541904,0.0223158384641761,,,,,,3170.0,,,,433848.0,0.0073067064962844,0.00915253909928,0.0073643303645516,0.005758597692777,0.0082584347319158,-0.002499837039138801,Q2,,0.0,0.0,0.0,1,0,1,0,0,0.0
53063,2026,1522.5256047996263,4,7.328125817045019,0.010163684503115,,,,,,3170.0,,,,433848.0,0.0073067064962844,0.00915253909928,0.0073643303645516,0.005758597692777,0.0082584347319158,-0.002499837039138801,Q2,,0.0,0.0,0.0,1,0,1,0,0,0.0
